reviewId,reviewDate,mainDepartment,subDepartment,productName,reviewTitle,reviewStar,reviewText,inconsistentStatus
R1T28K1QITVOO3,"Reviewed in Canada on May 30, 2020",Beauty and Personal Care,Makeup,"Physicians Formula, Murumuru Butter, Bronzer, 0.38 Oz",Broken packaging,3.0,I like this product but the packaging came broken and it feels cheep.,1
R3A6KBLEWIJYWH,"Reviewed in the United States on April 5, 2021",Home and Kitchen,"Heating, Cooling & Air Quality","Portable Electric Space Heater with Thermostat, 1500W/750W Safe and Quiet Ceramic Heater Fan, Heat Up 200 Square Feet for Office Room Desk Indoor Use",Purchased in Feb not working in April. I need a refund effortlessly,1.0,I haven't had this heater for four months and its stopped working. I'm going to ask for a refund,0
RV0QK3KBQV524,"Reviewed in the United States on June 7, 2021",Computers,Computer Accessories & Peripherals,"seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green",Worked for 2 days,1.0,"Purchased this mouse because I was looking for a quiet mouse that was comfortable to use.  As a bonus, I loved the colors.  Unfortunately it only worked for a couple of days. Would not recommend this product.",1
R5NXNILGYZVX9,"Reviewed in the United States on August 13, 2021",Electronics,Camera and Accessories,SAMSUNG: EVO Select 128GB MicroSDXC UHS-I U3 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-ME128HA),Got 35 MG less,1.0,"This is a RIP OFF . Bought a 512GB as advertised and the one i got has a capacity off 477GB. How can that be, 35MB is a lot. Not happy with this at all .",0
R2IV6GQSKTNK8T,"Reviewed in the United States on March 28, 2020",Home and Kitchen,Furniture,Furinno (99557LC/BK) Turn-N-Tube 4-Tier Multipurpose Shelf Display Rack - Light Cherry/Black,"Easy to assemble, not very sturdy, small and neat",3.0,"These are easy to assemble, a bit on the flimsy side, but cheap and thin for smaller spaces.",1
R29VWMQPZ99GH6,"Reviewed in the United States on March 28, 2020",Beauty and Personal Care,Makeup,"NYX PROFESSIONAL MAKEUP Epic Ink Liner, Waterproof Liquid Eyeliner, Black",Disappointed,3.0,Product just ran when I tried outlining my eyes,0
R26U09QB9Y60HE,"Reviewed in the United States on December 26, 2020",Computers,Computers & Tablets,"HP Chromebook 14-inch FHD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0050nr, Mineral Silver)",What my grand kids needed,5.0,Bought 3 of these for my young grandkids for distant learning during the 2020 pandemic. No problem. we've been very satisfied.,0
R38TD2XFA0CIR1,"Reviewed in the United States on June 23, 2021",Electronics,CellPhones and Accessories,"(Refurbished) Apple iPhone 7, 32GB, Black - Fully Unlocked",Nice phone for the price. I bought it for my mother who is older,5.0,Well the phone was in perfect condition it really looked like it has never been used and everything works perfectly. Honestly there is no wear at all which really surprised me because I can be rather picky. I will write the rest from the standpoint of an 80 year old person which is who I bought it for in the first place.ProsNew conditionEasy to use and the accessibility options are very robust. This is very important to people 80+Apple app store  -Since the software is locked down by apple there is less chance anything strange will happen to it.ConsDont really have any complaints about the product it works great.,0
RXSO7EF90J5I,"Reviewed in the United States on January 13, 2021",Sports and Outdoors,Outdoor Recreation,Coleman Sundome Tent,Not great to use if it's raining/wet outside,4.0,Not really waterproof. it rained a little bit & it leaked through,1
RERLZ7DD111IK,"Reviewed in the United States on December 4, 2020",Home and Kitchen,Bath,"Gorilla Grip Luxury Chenille Bathroom Rug Mat, 30x20, Extra Soft and Super Absorbent Shaggy Rugs, Machine Washable, Quick Dry Bathmat, Plush Carpet for Tub, Shower and Bath Room Floor Mats, Grey",Mop looking rug,1.0,I didn’t use this item. I didn’t like the material of it. It looked like a mop. I’m sure it was absorbent. but it didn’t blend with the towels I orderedd through you a month ago. I love the towels.,1
R14TK8F7V29HIC,"Reviewed in the United States on August 27, 2021",Computers,Networking Products,Sabrent 4-Port USB 2.0 Hub with Individual LED lit Power Switches (HB-UMLS),It will not charge our IPhones,4.0,It does a great job of working anything but a charging cord for our phones. Don’t get this to charge your iPhone by plugging your cord into it. Everything else works great.,0
REDPSUNLWXE2D,"Reviewed in the United States on December 27, 2020",Beauty and Personal Care,Skin Care,"Neutrogena Hydro Boost Hyaluronic Acid Hydrating Water Gel Daily Face Moisturizer for Dry Skin, Oil-Free, Non-Comedogenic Face Lotion, 1.7 fl. oz",Impressed,4.0,My skin is very picky and i have not been able to find a moisturizer to help my skin in winter but also not break my skin out. I have combo skin and usually moisturizers break meOut. This was a long shot but i honestly saw results the first week. Face feels and looks 100 times better than usual. My routine is wipe with water upon wake and sleep and put this on right after.That’s it. I love the fresh scent and the fact i dont have to put much on to get an effect. I’m impressed and will continue to use!! :)  i feel like my face looks fresher and more awake. Love it so far!,0
R25JOPMLJWP908,"Reviewed in the United States on August 17, 2020",Sports and Outdoors,Sports & Fitness,Saucony Men's Multi-Pack Mesh Ventilating Comfort Fit Performance No-Show Socks,they are okay.  They do pill quickly..but who sees them.  About 1/2 of them don't stay on the foot.,3.0,they are okay.  They do pill quickly..but who sees them.?? About 1/2 of them don't stay on the foot.,1
RDORHKY8RMRVU,"Reviewed in the United States on August 31, 2021",Beauty and Personal Care,Hair Care,"REVLON One-Step Hair Dryer And Volumizer Hot Air Brush, Black, Packaging May Vary",Hate this! Can't use it...way to big to handle!,1.0,"I bought this as a gift for my daughter, when we opened the box and saw how big this thing is, we didn't even try to use it. You would have to have large hands and really long hair to be able to use this.I want to return it but only had 30 days to do so, which was past the date I gave this to her. Amazon's strict 30 day return policy on this in unfair.Am so disappointed!",0
RAT2DQ7H2O2ZB,"Reviewed in the United States on September 4, 2020",Beauty and Personal Care,Hair Care,"WOW Apple Cider Vinegar Shampoo and Hair Conditioner Set Increase Gloss, Hydration, Shine, Reduce Itchy Scalp, Dandruff & Frizz, No Parabens or Sulfates, All Hair Types, 2 x 16.9 Fl Oz 500mL",Doesn't work!,3.0,"This product has not helped with my hair regrowth at all! It makes my hair super greasy and wet looking too. Alopecians, its NOT worth the buy!",1
R1LSFYK62YHX02,"Reviewed in the United States on December 16, 2020",Electronics,Headphones,"Samsung Galaxy Buds Plus, True Wireless Earbuds (Wireless Charging Case Included), Black – US Version","Lives up to the hype, but not for my ear canals.",3.0,It still hurts my ear canal even with all the tips,1
RUXYUU7CY9MJ9,"Reviewed in the United States on August 22, 2020",Home and Kitchen,Furniture,"Amazon Basics Ergonomic Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275Lb Capacity - Black",Tiny and uncomfortable. Spring poked through. BAD QUALITY,1.0,The chair is way smaller than expected. It also is really uncomfortable to sit because the cushion absorbs the heat from your bottom.UPDATED 3/1/2021: The springs underneath the seat has poked through. Revealing the sharp end of the spring. Already have been cut once.,0
R37PB0I4HNJG6E,"Reviewed in the United States on September 2, 2021",Electronics,Headphones,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,Not impressed at all,1.0,"I was looking for bose earbuds and came across this with over 140,000 reviews hyping these and I thought shoot these must be awesome. I was at the gym n they kept going in and out. They don't fit in the ear well when you move during workouts they try to fall out.",1
R1Z0D9JPM05AOQ,"Reviewed in the United States on November 14, 2019",Computers,Laptop Accessories,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black/Blue",Havit HV-F2056 15.6-17 Inch Laptop Cooling Pad,2.0,Worked fine for 5 months.  Then it died.,0
RJZHK5JY26OH7,"Reviewed in the United States on March 2, 2021",Home and Kitchen,Bath,"Gorilla Grip Luxury Chenille Bathroom Rug Mat, 30x20, Extra Soft and Super Absorbent Shaggy Rugs, Machine Washable, Quick Dry Bathmat, Plush Carpet for Tub, Shower and Bath Room Floor Mats, Grey",Soft and stays in place,4.0,Stays in place!,1
R13NZP4GS5W7Q2,"Reviewed in the United States on July 23, 2021",Computers,Networking Products,"TP-Link AC750 WiFi Extender (RE220), Covers Up to 1200 Sq.ft and 20 Devices, Up to 750Mbps Dual Band WiFi Range Extender, WiFi Booster to Extend Range of WiFi Internet Connection",Decent for the money,3.0,"Easy to set up, signal doesn’t reach as far as I was hoping and isn’t that strong but it does work",1
R29UC0APGKILJP,"Reviewed in the United States on May 4, 2021",Beauty and Personal Care,Shave & Hair Removal,"Schick Hydro Silk Touch-Up Multipurpose Exfoliating Dermaplaning Tool, Eyebrow Razor, and Facial Razor with Precision Cover, 3 Count (Packaging May Vary)",Careful,4.0,Trying these out. They are a tad bit sharper than the tinkle razors I usually get. Or maybe because the blade is longer. I’ve seemed to nick myself a lot easier with these. But still do the job. Just be mindful and careful how you use,0
R1PAFK6ZAA1WWH,"Reviewed in the United States on August 10, 2021",Computers,Data Storage,Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache 3.5-Inch – Frustration Free Packaging (ST2000DM008/ST2000DMZ08),Real review lol,5.0,First one did not arrive but was sent a replacement and am happy . It does not come with power or date cable and think it should be displayed more so people know before buying but over all good👍🏼.,0
R2HQPLL752RJ2O,"Reviewed in the United States on September 9, 2020",Computers,Men's Accessories,"Carhartt Men's Knit Cuffed Beanie, Black/White, One Size",eh,3.0,exactly like the picture jist very small,1
R1472WDNVBFXXZ,"Reviewed in the United States on July 31, 2020",Sports and Outdoors,Outdoor Recreation,"Coleman Cooler Quad Portable Camping Chair, Blue",Amazing price for good quality!,4.0,"I bought these because they have a higher weight limit allowance.  Our first time using them was along the CA coast near San Simeon for an impromptu sunset dinner.  My husband has extremely wide shoulders and he fit wonderfully and comfortably in his chair, which held his weight nicely.  My chair was very comfortable for shorter periods of time; however, my legs are a bit short, so the front of the seat cut into my legs a bit with the chair on a hard-packed surface.  In sand on the beach, it will be just fine.  The extra storage in the left armrest is genius!  With a small frozen pack, it will likely hold 2-3 cans or 1-2 bottles, and it's insulated.  I would recommend wiping it out after use with a dry towel/cloth to avoid mold or mildew.  I would definitely buy these again.  I'm actually thinking of buying SEVERAL sets to give as gifts for Christmas this year.",0
RMSJAC0QE3QE3,"Reviewed in the United States on May 9, 2021",Electronics,Headphones,"Samsung Galaxy Buds Plus, True Wireless Earbuds (Wireless Charging Case Included), Black – US Version",Extremely low volume after 8 months. No fix for it.,1.0,"Less than 1 year later, these have no volume and I've I've unable to fix it despite going through all the tech support and fixes available. They were really good when they were working though! It's a shame! I really enjoyed these, had them in just about all day at work. Small audio delay but not too horrible. If they didn't die out on me I would've given these 5 stars! Maybe the newer ones will be better.... lol",1
RBQZJBAA9106R,"Reviewed in the United States on August 9, 2021",Computers,Men's Clothing,"Gildan Men's Crew T-Shirts, Multipack",When you wash them they shrink too small,2.0,When you wash them they shrink too small,1
R13BKQ417HXXTD,"Reviewed in the United States on June 20, 2021",Home and Kitchen,"Heating, Cooling & Air Quality","Honeywell HT-900 TurboForce Air Circulator Fan Black, Small",Ok fan,3.0,Loses intensity quickly.,1
R133FAWE37Z2T9,"Reviewed in the United States on July 8, 2021",Beauty and Personal Care,Fragrance,"Nautica Voyage By Nautica For Men Eau De Toilette Spray, 100 ml",You want to smell like cheap Eu de toilet?,1.0,"You get what you pay... in this case a really really cheap spray that makes you wanna rip your clothes off. Keep your hands off this product, not worth the money.",0
R3KHU4Y2TVY0M5,"Reviewed in the United States on September 2, 2021",Computers,Computer Accessories & Peripherals,"seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green",Stopped working after 4 days,1.0,"Total waste of money, what a bummer",0
RIU6ZPUY5SWWF,"Reviewed in the United States on May 16, 2021",Computers,Computer Accessories & Peripherals,"livho 2 Pack Blue Light Blocking Glasses, Computer Reading/Gaming/TV/Phones Glasses for Women Men,Anti Eyestrain & UV Glare (Light Blcak+Clear)",One of the Temples Broke Off After a Month,2.0,"I like these glasses because they are very light-weight and seem to do the trick without being too expensive. But, one of the arms/temples came off after just about a month of use. I never found the little screw of the hinge but they were only worn in one place and I searched high and low. So now, one pair is unusable because they won't stay up without both temples.",0
R616BZOCO9A0I,"Reviewed in the United States on February 22, 2021",Beauty and Personal Care,Fragrance,"Cremo Blue Cedar & Cypress Cologne Spray, A Woodsy Scent with Notes of Lemon Peel, Cypress and Cedar, 3.4 Oz",Very potent,2.0,It was way too strong and overpowering.,1
R1AC97BU2I3LAJ,"Reviewed in the United States on April 20, 2021",Home and Kitchen,"Heating, Cooling & Air Quality","Portable Electric Space Heater with Thermostat, 1500W/750W Safe and Quiet Ceramic Heater Fan, Heat Up 200 Square Feet for Office Room Desk Indoor Use",Metallic odor?,3.0,Everything seems to be working fine except that it's pumping out metallic odor every time I turn on the fan with the heat. I was hoping that the odor would decline in just a few days if I use it for awhile but alas my room smells like a giant tin can now (even after 2 weeks...)Some sort of heavy metal gets melted a little when the heat is on and the fan blows it around the room? Somewhat concerned about this.,1
RGZ2RUZZP78UC,"Reviewed in the United Kingdom on February 25, 2019",Computers,Men's Accessories,"Goorin Bros. Men's Animal Farm Snap Back Trucker Hat, Black Horse, One Size",Very poor for a goorin bros in this range,2.0,"I own 2 more goorins from this range and comparing this cap to my others this one it seems poor quality & fit.Firstly the net web backing is very poor compared to my others the other caps even when taken off the net holds there shape and as strength,this one is floppy and collapses when taken off and when wearing it collapses in parts that are not supported by the bulk of your head. The peak of the cap  the width is also shorter to my others. On arrival it came in just a plastic postal bag with nothing to protect the cap and in my opinion it looks like it as been customer returned  shipped and sent back a number of times before its eventual delivery to me and the front looked tatty. I will reluctantly keep and just wear doing the garden and maintenance jobs were I don't care if it gets paint and filth on. I would not purchase another from this place in future. Lesson learned",0
R3L1P1W7XRASJS,"Reviewed in the United States on January 20, 2021",Computers,Computer Accessories & Peripherals,"livho 2 Pack Blue Light Blocking Glasses, Computer Reading/Gaming/TV/Phones Glasses for Women Men,Anti Eyestrain & UV Glare (Light Blcak+Clear)","Nothing fancy, but gets the job done",4.0,"These glasses are alright for blocking blue light, but they smudge easily and the reflection on the lenses is bothersome during zoom calls.They do their job well enough and were very affordable, so I'm pleased with the purchase.",0
R28JDP0C9W27QF,"Reviewed in the United States on July 22, 2020",Home and Kitchen,"Heating, Cooling & Air Quality","Lasko 2511 36” Oscillating 3-Speed Tower Remote Control Household Fans, 36 Inch, Black",Weak fan,2.0,"Is not strong, only has 3 levels and all three are weak. I can barely feel air.",0
R1UCL89KLX3A7H,"Reviewed in the United States on September 6, 2021",Computers,Computer Accessories & Peripherals,"livho 2 Pack Blue Light Blocking Glasses, Computer Reading/Gaming/TV/Phones Glasses for Women Men,Anti Eyestrain & UV Glare (Light Blcak+Clear)",The ones I got don’t work .,1.0,I’m not sure if all the glasses are the same or not but mine don’t block any blue light . They are completely transparent and don’t work . They are cute but i could buy the same ones at the dollar store . My friend bought the same ones and here’s you can see a blue reflection off of hers but not mine . I was disappointed for what I paid. .,1
R15QYFMWI9OO5G,"Reviewed in the United States on March 16, 2018",Computers,Men's Watches,Mens Digital Sports Watch LED Screen Large Face Military Watches for Men Waterproof Casual Luminous Stopwatch Alarm Simple Army Watch,bad band,2.0,"I liked the price and display, BUT the watch band broke after about 6mos. no way to replace the band.",0
R144YNJLDSYTTZ,"Reviewed in the United States on March 9, 2021",Electronics,GPS and Navigation,"Tracki 2021 Model Mini Real time GPS Tracker. Monthly fee required. Full USA & Worldwide Coverage. For Vehicles, Car, Kids, Elderly, child, Dogs & Motorcycles. Magnetic small Portable Tracking Device.",Separate fee for each tracker,3.0,"Ended  up sending product back .  We had ordered two and when we set up the app I realized each tracker was a separate monthly charge.  Might be good for someone only needing one tracker.  Product itself might be good , we didn’t get a chance to use it much.",1
R3UROE4FNYTQBW,"Reviewed in the United States on February 21, 2021",Beauty and Personal Care,Makeup,"Physicians Formula, Murumuru Butter, Bronzer, 0.38 Oz",Great!,5.0,"Loveee it!! Smells so good, and looks amazing. I have very fair skin, and this is the perfect shade. Easy to build up so you can go for a more dramatic or subtle look. Great price too, I like this one more than too face's or bobbi brown's 😳",0
R36R85OTATM4SN,"Reviewed in the United States on August 21, 2021",Computers,Men's Shoes,New Balance Men's 623 V3 Casual Comfort Cross Trainer,Durable,5.0,Very satisfied with the fit and durability.  Have bought a third pair.  Probably will buy again because they are the most comfortable and best value I have found.,0
R2JV36Y3DXKH7F,"Reviewed in the United States on August 7, 2021",Beauty and Personal Care,Makeup,"NYX PROFESSIONAL MAKEUP Epic Ink Liner, Waterproof Liquid Eyeliner, Black",AMAZING,5.0,"I’ve been using gel since I’ve started using eyeliner, the gel liner I was using smudged easier than this, and when I went to take it off it smudged EVERYWHERE around my eye making it so much messier, tested this eyeliner out and it came off so easily and clean. I tested it being smudge/water proof and unless you’re applying A LOT of pressure it won’t smudge! If you use anything other than liquid you should definitely try, it’s so much easier to apply too even!",0
R3UEPL2APIC16A,"Reviewed in the United States on August 4, 2019",Beauty and Personal Care,"Foot,Hand & Nail Care","AIMEILI Gel Nail Polish No Wipe Top and Base Coat Set, Shine Finish and Long Lasting, Soak Off Gel Nail Lacquer - 2 x 10ml",Leaking bottle ruins top coat.  Before that it was fab.,3.0,"At first I LOVED this stuff.  Easy to use, cured to a shine.  After a few uses, the top coat bottle leaks and is a goey mess. I use gloves just to touch the bottle and keep it in a baggy.  Since it started to leak, it doesn’t cure right.  It can be lumpy, dull and may not cure to a hard finish.  Sad because it worked great before it had issues sealing tight. Otherwise, I’d give this 5 stars for sure.  I think I just got a bum bottle.",1
R1FO3QJ5ZR0FT3,"Reviewed in the United States on April 16, 2021",Computers,Computer Accessories & Peripherals,Redragon S101 Wired Gaming Keyboard and Mouse Combo RGB Backlit Gaming Keyboard with Multimedia Keys Wrist Rest and Red Backlit Gaming Mouse 3200 DPI for Windows PC Gamers (Black),It was great while it lasted!,1.0,"I've only had this keyboard for a couple of months but it's completely broken on me! the keyboard is completely broken! every time I try and type something only a select few keys work SOME OF THE TIME!! I really enjoyed it for the short time I had it though... The mouse still works though, and I like it.",0
R12GQ5UMXFDYUT,"Reviewed in the United States on July 13, 2016",Computers,Men's Watches,Invicta Pro Diver Unisex Wrist Watch Stainless Steel Automatic Black Dial - 8926OB,Two Stars,2.0,"Very dissapointed. After 3 months of having it, watched started acting crazy and merchant doesnt provide any warranty.",0
R1KFXXJOVI0DC8,"Reviewed in the United States on August 29, 2021",Computers,Computers & Tablets,"Lenovo Chromebook Flex 3 11"" Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 82HG0006US, Blizzard White",Touchscreen,3.0,Touch screen stopped working 2 days in. Tried everything to get it back working with trouble shooting. Would like a republican or a refund.,1
RU3NLLOE1L2DL,"Reviewed in the United States on November 15, 2017",Computers,Men's Watches,"Fossil Men's Grant Quartz Stainless Steel and Leather Chronograph Watch, Color: Silver/Blue, Luggage (Model: FS5151)",Nice watch for everyday use or adornment,4.0,"This is a recent purchase, so I can't speak to how well the watch holds up over the months & years. So far it is keeping perfect time, though. The appearance is attractive and it feels ""solid."" Really quite good value for the price. My only mild criticisms center on the wristband. The leather strap is very stiff, not supple, so the watch doesn't rest snugly on my wrist and it can be difficult to bend the strap enough to slide it through the first loop, which is very close to the buckle. I don't know whether it will stay this way, get softer with use, or crack and break after a few months. If it does, then I would probably go ahead and invest in a new leather strap that felt better and went on & off easier.Some reviewers have complained about the tin box the watch comes in because it can look a bit ""banged up"" or used. But I think that's intentional. After all, the company is called Fossil, not ""Shiny Chrome!""",0
R24PEFUDTZDZ52,"Reviewed in the United States on July 13, 2021",Electronics,GPS and Navigation,"Tile Pro (2020) 1-pack - High Performance Bluetooth Tracker, Keys Finder and Item Locator for Keys, Bags, and More; 400 ft Range, Water Resistance and 1 Year Replaceable Battery",Works great,5.0,Works all over the house.,1
R1OOJ964JGT2MT,"Reviewed in the United States on July 26, 2021",Computers,Computer Accessories & Peripherals,"seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green",Spoilt within the first few months,1.0,This mouse is not of great quality. The buttons are loose and spoil easily. You have to keep shaking the mouse for the battery to get detected.,0
R1GQWR9487XW1J,"Reviewed in the United States on May 1, 2021",Home and Kitchen,Bath,"Gorilla Grip Luxury Chenille Bathroom Rug Mat, 30x20, Extra Soft and Super Absorbent Shaggy Rugs, Machine Washable, Quick Dry Bathmat, Plush Carpet for Tub, Shower and Bath Room Floor Mats, Grey",Very nice rugs.,4.0,Very soft. A little too small for my taste but work well. Hope they wash well as haven’t done that yet.,0
R3DHU4NGJ0G0VF,"Reviewed in the United States on October 13, 2018",Sports and Outdoors,Sports & Fitness,Wilson Soft Play Volleyball,Not soft,3.0,The ball is fine but It is not soft despite the word “soft” on the product title.  My 8 year old got bruises on her arm.,1
R3KONYRYF78MB7,"Reviewed in the United States on October 6, 2020",Beauty and Personal Care,"Foot,Hand & Nail Care","Hard As Hoof Nail Strengthening Cream with Coconut Scent Nail Strengthener, Nail Growth & Conditioning Cuticle Cream Stops Splits, Chips, Cracks & Strengthens Nails, 1 oz","Meh, Would Not Buy Again",1.0,I saw no difference in my nails after using this product continuously for several weeks.,0
R1TJC10P4RWE0A,"Reviewed in the United States on May 10, 2019",Computers,Men's Watches,Invicta Pro Diver Unisex Wrist Watch Stainless Steel Automatic Black Dial - 8926OB,stops running all day,1.0,stops running,0
RZVOHI5LGT8CO,"Reviewed in the United States on August 19, 2021",Beauty and Personal Care,Skin Care,"Neutrogena Hydro Boost Hyaluronic Acid Hydrating Water Gel Daily Face Moisturizer for Dry Skin, Oil-Free, Non-Comedogenic Face Lotion, 1.7 fl. oz",Natural-like face moisturizing,5.0,"The product does what it says it will do, The result is dependable, consistent, and beautiful.",0
R1H7M69HIFW666,"Reviewed in the United States on August 15, 2019",Sports and Outdoors,Outdoor Recreation,Coleman Sundome Tent,Need to patch tear on floor before first use.,2.0,"Finally setting this tent up for the first time out of the box. There is a short 2 inch “run” in the floor material where it looks like it was grazed by something sharp that damaged the tarp-like fabric. It’s tiny, but enough to let water in or maybe some tiny bugs in like ticks or chiggers. So I am not super happy about that. I’ll need to find a way to patch it as I don’t want to deal with shipping this thing back.",0
R35IA0MZN3N6RQ,"Reviewed in the United States on April 23, 2020",Beauty and Personal Care,Shave & Hair Removal,"Schick Hydro Silk Touch-Up Multipurpose Exfoliating Dermaplaning Tool, Eyebrow Razor, and Facial Razor with Precision Cover, 3 Count (Packaging May Vary)",Meh,1.0,Blades were/are not at all sharp. Waste of $$,0
R3CCV27GDHUID,"Reviewed in the United States on August 22, 2021",Computers,Men's Shoes,adidas Men's Adilette Shower Slide,They are what they were represented to be,5.0,They are what they were represented to be,1
RVTA45V67I1YU,"Reviewed in the United States on June 3, 2021",Computers,Laptop Accessories,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black/Blue",Quiet and Effective,4.0,"My laptop runs very hot. Until I purchased this fan, its internal fan was running at full tilt constantly. My laptop fan rarely runs anymore and this fan is incredibly quiet - we have one in our home office/bedroom and I can't hear it at night. I have 3 of them - one for my home office, one for work, one for my modem/router. The fan died on one of them and made a horrible noise, so I had to replace it, but otherwise no complaints. I happily purchased another one of the same fan.",0
R29Y8PXY5DIMGT,"Reviewed in the United States on January 20, 2021",Beauty and Personal Care,Fragrance,"Nautica Voyage By Nautica For Men Eau De Toilette Spray, 100 ml",No comment,4.0,,1
R1GHMZKLYGCZSU,"Reviewed in the United States on August 30, 2021",Home and Kitchen,Beds,"Beckham Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers",Perfect,5.0,Finally a good nights rest!,0
